ratDVD,ratDVD commpressed DVD movie
mj2,JPEG 2000 motion sequence format (ISO 15444-3) file
60d,CCTV video clip
mv4,Apple QuickTime video file
urc,Unicenter Remote Control file
rec_part0,Walker File format video file
mbv,JVC Everio MediaBrowser movie
y4m,YUV4MPEG2 video file
bix,Video file
iva,Surveillance video file
3g2,3GPP2 multimedia file
xba,Timespace Technology video
tp0,Mascom PVR video file
vs4,AVTECH video file
fcpxml,Final Cut Pro X project
dce,DriveCam video recording
dscf,Fujifilm video file
mpeg,MPEG movie
nvl,Netviewer Meet session record file
rpl,ARMovie video file
xvw,XVW export file
gts,CaptiveWorks PVR video recording format
cvc,cVideo file
flc,AutoDesk FLIC format
tgv,Electronic Arts video file
wtv,Windows Media Center TV recording
flm,Adobe Premiere filmstrip file
vbc,Netralia VodBurner recorded video
mcv,Mac Video file
rmvb,RealMedia variable bitrate file
mvd,Movie Edit Pro video file
r3d,REDCODE multimedia file
clpi,Blu-Ray clip AV stream file
slc,AT&T U-verse recorded video file
theater,iMovie theater library file
xpv,Integral video file
eye,Eyemail ETI Camcorder Pro video file
dlx,Sony VDU file format importer
dtv,DVD2AVI mpeg2 file
rax,RealMedia streaming file
dsm,Media Player Classic DSM streaming container
m4f,c MPEG-4 video file
p2,Panasonic P2 video
fsv,FreeSWITCH video file
hgd,IP camera video file
bnk,BINK compressed video
mvc,Multiview Video Coding video
mnv,Sony PlayStation movie file
ppj,Adobe Premiere 6 and older video project
ivm,Interactive Visual Media video format
jmf,Java Media Framework file
cx3,CMS video file
flexolibrary,Final Cut Pro or Apple iMovie library file
vcm,Interwise participant recorded WebCast file
m1v,Moving Pictures Experts Group video (MPEG-1 IPB)
dvm,DVM Movie File Format
hmv,Houdini movie file
ast,Astound multimedia file
ml20,MSN Webcam Recorder video file
eva,MSX video file
fmv,Bink Tools Full Motion Video file
rtsp,Apple QuickTime real-time streaming protocol file
eztv,EZTV tv show video file
h263,H.263 video format
jpv,IVC video format file
k3g,GOM Player file
vpg,VideoPad video file
lsf,Advanced Streaming Format file
mpcpl,Media Player Classic's playlist file
cpk,Sega FILM/CPK file format
gxf,General Exchange Format video file
apz,AMS shared project
vpd,PhotoDVD project file
dvdrip,DVD rip file
qt,Apple QuickTime movie clip
imovieproj,iMovie project
um4,Samsung Smart TV video
aut,iPIX interactive pictures format
fm2,FCEUX movie file
mvr,IBM HotMedia multimedia file
lsproj,LoiLoScope project file
hdmov,Apple QuickTime HD Movie file
san,LucasArts Smush Animation Format file
smv,VideoLink saved mail video
rca,RCA digital recorder format
603,GANZ video compression file
mmp,Multimedia player movie clip
bdtp,BaiduPlayer media file
