cmcyan, magenta yellow black and alpha samples image
cng,National Geographic image file
col,Technicolor Dream picture image
core,Core bitmap image file
cpa,Prism picture image
cpbitmap,Apple iPhone bitmap wallpaper file
cpd,Compression PhotoDefiner image file
cpd,CorelDRAW Corel PrintOffice drawing
cph,Corel Print House printing project file
cpr,Trzmiel compressed picture image
cpt,Corel PHOTO-PAINT bitmap file
cpt,Canvas for Atari ST picture image
cr,Iris CT format bitmap image
crf,Calcomp raster file
crs,Opton scanner file
cs1,Sinar CaptureShop
ct,Contone printer file
ct,SciTex continuous Tone bitmap image (32bit CMYK)
ct,IRIS CT image file
ctf,GammaFax TIFF compressed file
cube,Cubicomp/Vertigo image file
cut,Cut Creator picture image
cut,Dr. Halo bitmap format
cvs,Canvas bitmap or vector image
cwgr,ClarisWorks drawing file
cwpt,ClarisWorks Painting drawing file
d3d,DeltaVision image file
d3s,Nikon image format
d3x,Nikon image format
dah,AutoPlay Media Studio splash image file
dc1,DuneGraph compressed picture image
dcm,Dicom medicine image file format
dct,DALiM LiTHO continuous tone bitmap file
dcx,Zsoft PC Publisher's Paintbrush picture
ddb,Device dependent bitmap graphics file
dds,DirectDraw surface file
del,DelmPaint picture image
design,Microsoft Expression Design drawing file
dg1,DuneGraph picture image
dgc,DuneGraph compressed picture image
dgf,Tajima Embroidery Design thumbnail file
dgi,Atari picture image
dgp,ATARI picture image
dgu,DuneGraph picture image
dhp,Dr. Halo II-III bitmap file
dhr,Amiga multi-palette file
dhr,Apple II bitmap image
dhrp,Apple IIe or Apple IIc double hi-res image file
dub,Device-Independent bitmap graphics
dic,Medicine image file
dicm,DICOM medicine picture
dicom,Medicine image file format
din,Atari picture image
dip,Windows bitmap format
dis,DKB ray-tracer image file
dlm,Dir Logo Maker picture image
dng,Adobe Digital Negative file
dph,DelmPaint picture image
dpx,Kodak Cineon image format file
dpx,Digital Moving Picture Exchange bitmap file
dr,Amiga multi-palette file
drg,Atari CAD bitmap image
drg,Digital Raster Graphics
drv,Traverse PC Desktop drawing file
drw2,Canvas 3.5 Drawing file
drw5,Canvas 5 drawing file
dt2,Microsoft Live Messenger avatar file
dtw,My Better Desktop Wallpaper file
du1,Atari ST picture image
du2,Atari ST picture image
duo,Atari ST picture image
dv,DeltaVision image file
dzi,PhotoSynth Deep Zoom Image file
ebmp,EBMP bitmap format
ecw,Enhanced Compressed Wavelet image format
ed5,EDMICS picture image file
ega,EGA bitmap file
egc,GIF Creator project file
ei,Electric Image image format
eidi,Electric Image EIDI file
emf,Enhanced Windows Metafile picture
eosat,LANDSAT/EOSAT Satellite picture data image format
epa,Award Bios Logo image format
eri,ERI-chan (Entis Rasterized Image) image format
esc,ATARI picture image
esm,Enhanced Simplex image file
eve,Embedded Vector Editor diagram file
exif,Exchangeable image file
exp,BD Pathway image file
exr,OpenEXR Image Format
ezp,MegaView image file
fac,UNIX FaceSaver bitmap image
face,UNIX FaceSaver bitmap image file
fal,Bitmap graphics image header information Q0
fbm,Fuzzy bitmap image file
ff0,RISC OS TIFF bitmap image file
ff9,Acorn RISC OS bitmap image sprite file
fff,Maggi Hairstyles & Cosmetics image file
ffli,Flickering Flexible Line Interpretation format
ffpx,Microsoft Fresh Paint picture image
fgd,Digital raster graphic metadata file
fi,Flash Image image file
fido,Kodak Cineon image format
fif,Fractal Image Format file
fil,Symbian application logo file
flif,Free Lossless Image Format
fmj,FaceMorpher project file
fp,Vinal Page Vector TIFF image
fpg,DIV Games Studio Multi Map image format
fpix,FlashPix bitmap image
fpos,Photo Pos Pro image file
frdat,ABBYY Finereader file
fre,Male MRI (Male Normal CT) image format
frf,Ginga X-Ray first reduction file
frm,Corel Painter frame stack file
fsy,PhotoFantasy Image picture file
ftc,Atari Falcon True Color format
fwa,Fun with Art picture image
fxr,WinFax image
g00,Clannad picture image file
g09,ATARI picture image
g10,Atari Graphics 10 picture image
g11,Atari Graphics 11 picture image
g1r,Casio Model 9860 image file
g3p,Casio Prizm graphics
gaf,Total Annihilation animated bitmap format
gar,Google avatar file
gbm,MapServer bitmap store file
gbp,Genesis Enterprise bitmap pattern file
gel,Molecular Dynamics image file
gfb,GIFBlast compressed GIF image file
gfb,DeskPic for Atari ST picture image
gg,Koala Paint compressed image file
ghg,Gephard Hires Graphics picture image
gif,Graphics interchange file format
gif_160x120,GIF Image file
gif~c200,Graphics Interchange Format
gif89a,GIF 89a image file
giff,CompuServe bitmap image(Graphics Interchange Format)
gih,GIMP animated brush
gis,Erdas gray-scale bitmap image
gm,Autologic bitmap image file
gm4,Autologic bitmap image
gmbck,Game Maker background image file
god,GodPaint picture image
goo,Kai's Power Goo picture file
gpd,Graphic PhotoDefiner image file
gr7,ATARI graphics 7 file
gr8,ATARI graphics 8 file
gr9,ATARI Graphics 9 picture image
graf,Digital F/X image file
grb,HP-48 GROB bitmap image file
grk,Kreon scanner file
gro,HP-48/49 grob graphic image format
grob,Graphic Object Bitmap file
gtx,Genetica seamless texture format
gun,Gunpaint bitmap image
ham,Amiga hold and modify image
ham6,Amiga Hold-And-Modify 6 file
ham8,Amiga Hold-And-Modify 8 file
hc,High Resolution Cantone TIFF bitmap
hci,Atari picture image
hdp,HD Photo
hdr,Photomatix HDR image file
hdri,HDRI image file
hdru,Apollo HRDU image format
hed,Hi-Eddi image file
hf,HF image format
hfc,Hires FLI Designer picture image
hgb,Amstrad CPC bitmap format
hgr,Apple II bitmap image
hip,Atari HARD Interlacing Picture format
hips,Bitmap file
hlr,Attributes Gigascreen picture image
hmr,GeoTIFF bitmap file
hpe,Canon JPEG file
hpi,Hemera Photo Image format
hpm,Grass' Slideshow picture image
hr,Atari picture image
hr,TRS 80 image file format
hr2,Atari picture image
hrf,Hitachi CADCore raster format file
hs2,HyperRESEARCH postering monochrome image file
hsi,Handmade Software bitmap image
hsi,HSI JPEG bitmap file
hta,Hemera thumbs image file
htd,Applied Precision CellWorX picture image file
huf,Huffman encoded file
huge,iFixit JPEG picture file
i17,Pixel PowerCollage image file
i61,LogoManager image
iax,IBM Image Access eXecutive bitmap file
ibm,Commodore Amiga graphics file
ic1,Atari bitmap image file
ic2,Atari bitmap image file
ic3,Atari bitmap image file
icb,Truevision Targa format
icn,Atari ICE CIN picture image
ico,Icon file
ico_,Icon file
icon,Icon image file
icr,NCSA Telnet Interactive color raster graphic file
id,AOL Instant Messenger buddy icon
idc,Core Software tech IDC file
idrc,Adobe InDesign resource file
idrw,Claris Impact drawing file
ief,Bitmap Image Exchange file
iefs,Bitmap Image Exchange file
iff,Autodesk Maya image interchange format
iff,Amiga Interchange File format
ig,Instagram JPEG picture image file
ige,Erdas Imagine Large Raster Spill file
ige,Interlace Graphics Editor picture image
igi,Indigo Renderer picture image file
igo,Instagram JPEG picture image
ilbm,Interleaved bitmap file
ilc,Atari picture image
ild,Interlace Logo Designer picture image
im,SunOS grey scale bitmap file
im1,Sun raster file
im24,Bitmap graphic file
im32,Sun 32bit raster file
im5,Visilog image file
image,Bitmap picture
img,Bitmap picture
imj,Pegasus Image Corp format bitmap graphics file
imn,Atari ICE MIN picture image
imq,NASA planetary image file
inb,Motorola MMS file
inf,Ulead Photo Explorer thumbnail cache file
info,Amiga icon data file
ing,ING 15 picture image
ingr,Intergraph Raster File Format
ink,InkML image file
inp,ATARI picture image
int,Silicon Graphics image file format
int,INT95a picture image
inta,Silicon Graphics image file
ioca,IBM Image Object Content Architecture (IOCA) bitmap graphics file
ip2,Atari ICE PCIN+ picture image
ipc,ICE PCIN picture image
ipick,iPick Football picture image file
ipl,IPLab image format file
ipx,Ipix spherical panorama file
ir2,Super IRG 2 picture image
iraf,IRAF file
irg,Super IRG picture image
isf,InfoNet snapshot file
ish,Image Speeder image
ism,Image System (Multicolor) image format
iso,CALS ISO 8613 bitmap graphics file
isq,MicroCT image file
ist,Interlace Studio picture image
itc2,Apple iTunes Cover Flow data
itg,Intergraph format bitmap graphics
ivb,Truevision Targa format bitmap graphics file
ivp,Truevision Targa bitmap image
ivue,Live Picture image file
iw4,DjVu image format
iw44,DjVu image format
j j,JPEG/JFIF image file
j2c,JPEG2000 image format
j2k,JPEG2000 code stream image
j6i,Ricoh Digital Camera image file
