###,DoubleSpace compressed volume file
$ll,Steinberg Cubase compressed file
7z.016,file icon7z.016	Split Multi-volume 7-ZIP compressed file archive (part 16)
7z.017,file icon7z.017	Split Multi-volume 7-ZIP compressed file archive (part 17)
7z.018,file icon7z.018	Split Multi-volume 7-ZIP compressed file archive (part 18)
7z.019,file icon7z.019	Split Multi-volume 7-ZIP compressed file archive (part 19)
7z.020,file icon7z.020	Split Multi-volume 7-ZIP compressed file archive (part 20)
7z.021,file icon7z.021	Split Multi-volume 7-ZIP compressed file archive (part 21)
7z.023,file icon7z.023	Split Multi-volume 7-ZIP compressed file archive (part 23)
7z.025,file icon7z.025	Split Multi-volume 7-ZIP compressed file archive (part 25)
7z.027,file icon7z.027	Split Multi-volume 7-ZIP compressed file archive (part 27)
7z.028,file icon7z.028	Split Multi-volume 7-ZIP compressed file archive (part 28)
7z.029,file icon7z.029	Split Multi-volume 7-ZIP compressed file archive (part 29)
7z.030,file icon7z.030	Split Multi-volume 7-ZIP compressed file archive (part 30)
7z.031,file icon7z.031	Split Multi-volume 7-ZIP compressed file archive (part 31)
7z.032,file icon7z.032	Split Multi-volume 7-ZIP compressed file archive (part 32)
7z.033,file icon7z.033	Split Multi-volume 7-ZIP compressed file archive (part 33)
7z.034,file icon7z.034	Split Multi-volume 7-ZIP compressed file archive (part 34)
7z.035,file icon7z.035	Split Multi-volume 7-ZIP compressed file archive (part 35)
7z.036,file icon7z.036	Split Multi-volume 7-ZIP compressed file archive (part 36)
7z.037,file icon7z.037	Split Multi-volume 7-ZIP compressed file archive (part 37)
7z.039,file icon7z.039	Split Multi-volume 7-ZIP compressed file archive (part 039)
7zip,file icon7zip	7-Zip 7z compressed archive
9m1,file icon9m1	WinRAR split archive part 1
??$,MsCompress archive
_dd,Norton Disk Doctor repair file
a,Red Hat Linux archive
a00,file icona00	Split Multi-volume ARJ compressed file archive (part 2)
a01,file icona01	Split Multi-volume ARJ compressed file archive (part 3)
a02,file icona02	Split Multi-volume ARJ compressed file archive (part 4)
a03,file icona03	Split Multi-volume ARJ compressed file archive (part 5)
a04,file icona04	Split Multi-volume ARJ compressed file archive (part 6)
a05,file icona05	Split Multi-volume ARJ compressed file archive (part 7)
a06,Split Multi-volume ALZip compressed file archive (part 8)
a06,file icona06	Split Multi-volume ARJ compressed file archive (part 8)
a07,file icona07	Split Multi-volume ARJ compressed file archive (part 9)
a08,file icona08	Split Multi-volume ARJ compressed file archive (part 10)
a09,file icona09	Split Multi-volume ARJ compressed file archive (part 11)
a1,Free Pascal archive
a10,Split Multi-volume ALZip compressed file archive (part 12)
a10,file icona10	Split Multi-volume ARJ compressed file archive (part 12)
a11,file icona11	Split Multi-volume ARJ compressed file archive (part 13)
a12,file icona12	Split Multi-volume ARJ compressed file archive (part 14)
a13,file icona13	Split Multi-volume ARJ compressed file archive (part 15)
a14,file icona14	Split Multi-volume ARJ compressed file archive (part 16)
a15,file icona15	Split Multi-volume ARJ compressed file archive (part 17)
a16,file icona16	Split Multi-volume ARJ compressed file archive (part 18)
a17,file icona17	Split Multi-volume ARJ compressed file archive (part 19)
a18,file icona18	Split Multi-volume ARJ compressed file archive (part 20)
a19,file icona19	Split Multi-volume ARJ compressed file archive (part 21)
a20,file icona20	Split Multi-volume ARJ compressed file archive (part 22)
a32,Split Multi-volume ARJ compressed file archive (part 34)
a7e,file icona7e	Adobe Authorware packaged library
aar,Apache Axis2 archive
abbu,file iconabbu	Apple Address Book contacts archive
acb,AOL Cab Launcher data
acd-zip,Sony ACID compressed project
ace,file iconace	WinACE compressed ace archive
acp,Alfresco exported repository file
adf,Amiga disk format
adsm,Advanced Split Machine split data
adz,Amiga emulator compressed ADF data
afa,Astrotite compressed archive
afzplug,Corel AfterShot Pro plugin archive
air,file iconair	Adobe AIR rich Internet applications
akp,file iconakp	Akai S5000, S6000 program data
alz,file iconalz	ALZip compressed archive
antifrag,DC++ incomplete download
aop,JBoss AS JAR archive
ap,WHAP compressed Amiga archive
ap_,Google Android development resources package
apple,Apple AppleSingle data
appv,App-V archive
appxbundle,Microsoft Windows app bundle package
arc,ARC lossless data compression and archive format
arc,FreeArc compressed archive
arch00,F.E.A.R. game archive
archiver,Incredible Bee Archiver archive file
arh,El Airplane game archive
arj,file iconarj	ARJ Compressed archive
ark,ARC File Archiver CPM/Port archive
art,Build game engine archive file
as4a,ActivInspire resource pack
asd,ASD Archiver compressed archive
asec,file iconasec	Google Android encrypted application package
atla,Artlantis archive
atr,Atari 8-bit disk image
avb,Accpac macro archive
axr,file iconaxr	ElcomSoft Advanced Archive Password recovery file
aza,QazaR Archive compressed data
b1,file iconb1	B1 compressed archive
b64,ASCII base64 MIME encoded archive
ba,Scifer Archive External archive format
bag,Bag archive
bag,Emperor: Battle for Dune game data
bar,Age of Empires / Age of Mythology game file
bar,BlackBerry OS 10 application installation package
bar,Unix BAR compressed file archive
bba,BlueByte archive
bc,Big Crunch compressed file
bca,BCArchive compressed encrypted archive
bcz,Siemens PLM software ZIP BriefCase file
bee,Bee Archiver compressed archive file
bel,Belon compressed archive
bh,ZipTV BlakHole Archive file format
bhx,BinHex compressed file ASCII archive
bif,BioWare game resource file
bin,AVG update data
bin,Macbinary II encoded file
bio,BioArc compressed archive file
bke,BackupEarth.com data compression file
blb,Blorb game resource package
blb,DreamWorks resource game archive
blz,BriefLZ compressed data file
bma,Compressed archive
bnd,Neighbours From Hell game archive
bnt,Entropia Universe game archive
boe,file iconboe	Microsoft Outlook Express backup file
boo,Microsoft Booasm.arc encoded file archive
bos,Fallout Tactics game archive
boz,BZIP compressed archive
bsz,BS.Player compressed skin
btc,Becker Tools compressed archive
bulk,BulkZip compressed archive
bulk-002,Split multi-volume BulkZip compressed file archive (part 2)
bulk-003,Split multi-volume BulkZip compressed file archive (part 3)
bun,Monkey Island 3 game archive
bvx,OptiTune install package
bz,BZIP compressed file archive
bz2,file iconbz2	bzip2 compressed file archive
bza,file iconbza	bzip2 compressed file archive
bzip,BZIP compressed archive
bzip2,BZIP compressed archive
c00,file iconc00	Split Multi-volume ACE compressed file archive
c01,file iconc01	Split Multi-volume ACE compressed file archive
c02,file iconc02	Split Multi-volume ACE compressed file archive
c03,file iconc03	Split Multi-volume ACE compressed file archive
c04,file iconc04	Split Multi-volume ACE compressed file archive
c05,file iconc05	Split Multi-volume ACE compressed file archive
c06,file iconc06	Split Multi-volume ACE compressed file archive
c07,file iconc07	Split Multi-volume ACE compressed file archive
c08,file iconc08	Split Multi-volume ACE compressed file archive
c09,file iconc09	Split Multi-volume ACE compressed file archive
c10,file iconc10	Split Multi-volume ACE compressed file archive
c13,Charlie Packer archive
c24,Drive Image ace image
c32,Split multi-volume ACE compressed file archive
c39,Split Multi-volume ACE compressed file archive
c40,Split Multi-volume ACE compressed file archive
c41,Split Multi-volume ACE compressed file archive
c42,Split Multi-volume ACE compressed file archive
c43,Split Multi-volume ACE compressed file archive
c44,Split Multi-volume ACE compressed file archive
c45,Split Multi-volume ACE compressed file archive
c46,Split Multi-volume ACE compressed file archive
c47,Split Multi-volume ACE compressed file archive
c48,Split Multi-volume ACE compressed file archive
c49,Split Multi-volume ACE compressed file archive
c50,Split Multi-volume ACE compressed file archive
c51,Split Multi-volume ACE compressed file archive
c52,Split Multi-volume ACE compressed file archive
c53,Split Multi-volume ACE compressed file archive
c54,Split Multi-volume ACE compressed file archive
c55,Split Multi-volume ACE compressed file archive
ca1,Delphi install disk
ca_,Microsoft Cabinet file
cab,Installation File For Windows Mobile
cab,Windows Cabinet Compressed Archive
car,CAR Archive compressed archive
car,SAPCAR archive file
carb,file iconcarb	Apple Carbon package
cat,Rational Rose logical package
caz,Computer Associates Archive
cb7,CDisplay 7-Zip comic book
cbr,file iconcbr	Comic Book Archive file or ComicBook Reader e-book
cbt,CDisplay TAR Comic book file
cbv,ChessBase archive file
cbz,file iconcbz	Comic Book Archive file or ComicBook Reader e-book
ccn,Multimedia Fusion development file
cdoc,DigiDoc Client container file
cfz,Compressed archive
chunk001,File Splitter split file (part 1)
chz,ChArc compressed archive
cmp,PKWare Compression Library archive
compress,Microsoft Compress archive
cpgz,Compressed UNIX CPIO archive
cpio,Unix CPIO archive
cpk,CRI Packed File Maker middleware package
cpk,Compiled Server Software Package file
cpr,Port Royale game archive
cpt,Compact Pro archive file
cpz,Central Point Shrink archive file
crf,Enhanced Dark Engine game archive
cru,CRUSH compressed archive
csk,Claris Works data
cso,file iconcso	CISO compressed ISO image
ctit,RAR archive
ctp,Civilization: Call to Power game data
ctw,Context Tree Weighting compressed file
cv,Corel Versions archive
czar,Cherwell archive repository
czip,file iconczip	ZG encrypted zip archive
d3c,Descent game data
dak,Debian Archive Kit data
dar,DAR disk archive
darc,Darc archive
dax,PSP Compressed CD image
dbz,DB Zipper compressed database
dcf,DisCryptor encrypted archive
dcm,Atari disk image format
dco,DisCryptor encrypted archive
dd,file icondd	DiskDoubler compressed archive
deb,Apple iPhone Cydia application installation package file
deb,file icondeb	Debian Linux package
desktop,file icondesktop	DesktopX Windows desktop theme
devpackage,Dev-C++ package
devpak,Dev-C++ developer package file
dfl,DEFLATE compressed data
diagcab,Microsoft Windows Troubleshooting CAB data
diagpkg,Microsoft Windows Troubleshooting package
djprojects,Digital Juice compressed audio data
dl_,file icondl_	Microsoft Windows DLL backup
dlc,file icondlc	JDownloader download link container
dms,Amiga compressed archive
dni,realMyst game archive
doz,Zardoz archive file
dpk,Microsoft Windows Application Manager deleted package file
drs,Age of Empires 2 game data
drz,DReport compressed report
dsy,DAISY AdAkta container file format
dta,Hidden & Dangerous game file
dtsx,Microsoft SQL Server Integration Services package
dtz,Simrad SP70 scanning sonar compressed data
du_,CAB archive
dub,Tuningwrench Audio Utility compressed audio
dur,DURILCA compressed archive
